ID Cliente,Zona,País,Tipo de producto,Canal de venta,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total
C3105,Africa,Lebanon,Domestico,Online,Baja,2022-08-26,1970-01-01 00:00:00,2022-09-01,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2211,Asia,Myanmar,Frutas,Online,Alta,2020-11-23,1970-01-01 00:00:00,2020-12-31,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1312,Asia,Vietnam,Ropa,Online,Alta,2022-09-23,1970-01-01 00:00:00,2022-09-27,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6003,Africa,Jordan,Frutas,Online,Baja,2022-04-25,1970-01-01 00:00:00,2022-06-02,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9080,Australia y Oceania,Palau,Material de oficina,Offline,Baja,2022-10-20,1970-01-01 00:00:00,2022-11-22,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4045,Centroamerica y Caribe,Antigua and Barbuda,Cereales,Offline,Critica,2020-08-04,1970-01-01 00:00:00,2020-08-28,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7601,Australia y Oceania,Papua New Guinea,Cuidado personal,Offline,Baja,2021-01-21,1970-01-01 00:00:00,2021-01-28,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1154,Centroamerica y Caribe,El Salvador,Ropa,Offline,Media,2022-11-02,1970-01-01 00:00:00,2022-11-19,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7315,Africa,Republic of the Congo,Bebida,Offline,Baja,2022-02-08,1970-01-01 00:00:00,2022-02-09,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4396,Australia y Oceania,Vanuatu,Carnicos,Online,Critica,2022-08-03,1970-01-01 00:00:00,2022-09-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2914,Asia,Bangladesh,Ropa,Offline,Baja,2022-09-11,1970-01-01 00:00:00,2022-09-16,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5088,Africa,Burundi,Cereales,Offline,Baja,2022-09-01,1970-01-01 00:00:00,2022-09-13,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9340,Africa,South Sudan,Verduras,Online,Media,2020-04-17,1970-01-01 00:00:00,2020-05-07,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5795,Africa,Mozambique,Bebida,Online,Baja,2020-11-25,1970-01-01 00:00:00,2020-12-12,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7783,Centroamerica y Caribe,Saint Kitts and Nevis,Carnicos,Online,Critica,2021-08-27,1970-01-01 00:00:00,2021-09-03,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2335,Africa,Rwanda,Verduras,Offline,Media,2021-07-16,1970-01-01 00:00:00,2021-08-17,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8686,Africa,Rwanda,Bebida,Online,Alta,2022-10-24,1970-01-01 00:00:00,2022-12-08,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1774,Europa,Moldova,Verduras,Offline,Baja,2020-12-23,1970-01-01 00:00:00,2021-01-31,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6740,Europa,Austria,Cereales,Offline,Baja,2020-07-10,1970-01-01 00:00:00,2020-07-30,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4428,Europa,Spain,Ropa,Offline,Baja,2022-01-16,1970-01-01 00:00:00,2022-02-18,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7885,Asia,China,Alimento infantil,Online,Critica,2020-10-27,1970-01-01 00:00:00,2020-12-01,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3863,Africa,Qatar,Cosmeticos,Online,Media,2022-07-21,1970-01-01 00:00:00,2022-08-11,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2314,Europa,Georgia,Cuidado personal,Online,Critica,2021-11-22,1970-01-01 00:00:00,2021-11-23,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4896,Asia,Kazakhstan,Domestico,Online,Media,2021-01-18,1970-01-01 00:00:00,2021-02-11,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9468,Africa,Namibia,Cuidado personal,Offline,Baja,2022-08-18,1970-01-01 00:00:00,2022-10-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5594,Centroamerica y Caribe,Jamaica,Carnicos,Offline,Baja,2022-07-01,1970-01-01 00:00:00,2022-07-23,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6039,Africa,Syria,Verduras,Offline,Media,2022-08-22,1970-01-01 00:00:00,2022-09-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6272,Africa,Tanzania,Frutas,Offline,Critica,2021-02-24,1970-01-01 00:00:00,2021-03-08,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6967,Africa,Angola,Alimento infantil,Online,Alta,2022-04-01,1970-01-01 00:00:00,2022-05-12,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9498,Asia,China,Cuidado personal,Offline,Baja,2020-07-18,1970-01-01 00:00:00,2020-09-06,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2444,Europa,Hungary,Cuidado personal,Offline,Baja,2022-06-30,1970-01-01 00:00:00,2022-07-03,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2087,Europa,Norway,Domestico,Offline,Alta,2022-01-29,1970-01-01 00:00:00,2022-02-03,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2912,Australia y Oceania,Australia,Carnicos,Offline,Critica,2022-04-09,1970-01-01 00:00:00,2022-05-02,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9106,Africa,Nigeria,Domestico,Offline,Media,2022-02-22,1970-01-01 00:00:00,2022-03-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3061,Asia,Thailand,Material de oficina,Online,Media,2021-03-09,1970-01-01 00:00:00,2021-04-17,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3872,Asia,Taiwan,Frutas,Offline,Alta,2020-09-16,1970-01-01 00:00:00,2020-09-27,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8834,Asia,India,Verduras,Online,Baja,2022-06-05,1970-01-01 00:00:00,2022-06-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6950,Europa,Romania,Bebida,Offline,Baja,2021-04-24,1970-01-01 00:00:00,2021-05-08,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1422,Australia y Oceania,East Timor,Cosmeticos,Online,Baja,2021-04-23,1970-01-01 00:00:00,2021-05-16,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5158,Europa,Bosnia and Herzegovina,Cereales,Online,Baja,2022-06-28,1970-01-01 00:00:00,2022-08-06,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9266,Europa,Ireland,Cuidado personal,Offline,Baja,2022-06-14,1970-01-01 00:00:00,2022-07-17,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5561,Europa,Croatia,Domestico,Online,Baja,2020-08-19,1970-01-01 00:00:00,2020-09-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9058,Africa,Iraq,Alimento infantil,Online,Baja,2022-08-06,1970-01-01 00:00:00,2022-08-22,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8476,Europa,Malta,Material de oficina,Online,Critica,2021-06-07,1970-01-01 00:00:00,2021-07-22,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6738,Europa,Ireland,Carnicos,Offline,Baja,2022-01-26,1970-01-01 00:00:00,2022-02-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7470,Africa,Madagascar,Alimento infantil,Online,Baja,2022-09-14,1970-01-01 00:00:00,2022-10-12,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1499,Europa,Austria,Cosmeticos,Online,Media,2021-12-01,1970-01-01 00:00:00,2021-12-27,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7358,Africa,Sierra Leone,Cuidado personal,Offline,Critica,2020-02-17,1970-01-01 00:00:00,2020-03-25,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3782,Europa,Netherlands,Material de oficina,Online,Critica,2021-01-09,1970-01-01 00:00:00,2021-02-18,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6208,Europa,Croatia,Cosmeticos,Offline,Alta,2021-07-15,1970-01-01 00:00:00,2021-07-18,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8278,Centroamerica y Caribe,Trinidad and Tobago,Snacks,Offline,Baja,2021-11-11,1970-01-01 00:00:00,2021-11-19,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4335,Asia,South Korea,Domestico,Offline,Critica,2021-03-05,1970-01-01 00:00:00,2021-03-28,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2928,Australia y Oceania,Samoa,Carnicos,Offline,Alta,2021-11-24,1970-01-01 00:00:00,2021-12-25,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4307,Europa,Albania,Material de oficina,Offline,Baja,2022-07-31,1970-01-01 00:00:00,2022-08-02,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4925,Africa,Cape Verde,Frutas,Online,Media,2022-03-03,1970-01-01 00:00:00,2022-03-25,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1939,Europa,Italy,Bebida,Online,Baja,2021-06-09,1970-01-01 00:00:00,2021-06-20,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6709,Europa,Hungary,Bebida,Offline,Baja,2021-07-26,1970-01-01 00:00:00,2021-08-02,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4298,Asia,Maldives,Alimento infantil,Offline,Critica,2022-09-17,1970-01-01 00:00:00,2022-10-19,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2971,Africa,Mali,Domestico,Offline,Alta,2022-07-25,1970-01-01 00:00:00,2022-08-19,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2700,Africa,Yemen,Cuidado personal,Online,Media,2020-08-26,1970-01-01 00:00:00,2020-09-04,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8654,Asia,North Korea,Snacks,Offline,Baja,2022-08-15,1970-01-01 00:00:00,2022-09-10,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8711,Asia,Uzbekistan,Cereales,Offline,Alta,2021-08-28,1970-01-01 00:00:00,2021-08-28,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4949,Europa,Latvia,Verduras,Online,Baja,2022-10-12,1970-01-01 00:00:00,2022-11-06,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9149,Asia,Singapore,Snacks,Offline,Critica,2021-05-29,1970-01-01 00:00:00,2021-06-24,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2297,Europa,Lithuania,Domestico,Online,Baja,2021-12-07,1970-01-01 00:00:00,2022-01-23,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2079,Africa,Senegal,Bebida,Offline,Alta,2022-01-04,1970-01-01 00:00:00,2022-01-20,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4389,Africa,South Sudan,Verduras,Offline,Critica,2022-07-20,1970-01-01 00:00:00,2022-08-18,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5819,Europa,Bulgaria,Alimento infantil,Online,Alta,2020-07-30,1970-01-01 00:00:00,2020-08-16,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8167,Africa,Seychelles,Carnicos,Offline,Alta,2022-02-04,1970-01-01 00:00:00,2022-03-01,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4933,Centroamerica y Caribe,Saint Kitts and Nevis,Domestico,Online,Alta,2020-08-24,1970-01-01 00:00:00,2020-09-29,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3822,Centroamerica y Caribe,Saint Vincent and the Grenadines,Alimento infantil,Offline,Alta,2021-08-10,1970-01-01 00:00:00,2021-09-26,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4239,Europa,Andorra,Cosmeticos,Offline,Baja,2020-10-02,1970-01-01 00:00:00,2020-11-14,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1796,Africa,Mali,Carnicos,Offline,Critica,2022-11-03,1970-01-01 00:00:00,2022-11-23,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1804,Africa,Togo,Cuidado personal,Offline,Media,2020-02-26,1970-01-01 00:00:00,2020-03-15,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5780,Asia,Thailand,Carnicos,Offline,Alta,2022-07-17,1970-01-01 00:00:00,2022-08-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6943,Europa,Moldova,Domestico,Online,Alta,2021-09-01,1970-01-01 00:00:00,2021-09-09,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3715,Centroamerica y Caribe,Trinidad and Tobago,Alimento infantil,Online,Alta,2021-01-14,1970-01-01 00:00:00,2021-02-23,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4222,Asia,Japan,Bebida,Online,Media,2020-04-06,1970-01-01 00:00:00,2020-04-26,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3793,Africa,Central African Republic,Cereales,Offline,Critica,2022-03-23,1970-01-01 00:00:00,2022-03-23,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7459,Africa,Azerbaijan,Cuidado personal,Online,Baja,2020-03-11,1970-01-01 00:00:00,2020-04-03,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7456,Africa,Mauritania,Frutas,Offline,Baja,2022-02-20,1970-01-01 00:00:00,2022-04-03,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5720,Europa,Portugal,Snacks,Offline,Media,2020-09-16,1970-01-01 00:00:00,2020-11-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9394,Africa,Liberia,Bebida,Online,Baja,2020-05-22,1970-01-01 00:00:00,2020-05-24,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8321,Africa,South Sudan,Frutas,Online,Alta,2021-10-12,1970-01-01 00:00:00,2021-11-26,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C6549,Africa,Cameroon,Frutas,Online,Baja,2020-02-28,1970-01-01 00:00:00,2020-04-02,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8829,Centroamerica y Caribe,Cuba,Carnicos,Online,Baja,2021-03-23,1970-01-01 00:00:00,2021-04-07,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7113,Africa,Malawi,Frutas,Online,Baja,2022-06-27,1970-01-01 00:00:00,2022-08-15,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3059,Australia y Oceania,Tuvalu,Bebida,Offline,Baja,2020-06-09,1970-01-01 00:00:00,2020-07-10,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3527,Africa,Burundi,Carnicos,Offline,Alta,2020-07-19,1970-01-01 00:00:00,2020-08-11,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
